"n","prev","prev_se","mov_prev","mov_prev_n","mov_prev_se","mov_prev_slope","mov_prev_slope_se","subgroup","meting","year"
307,0.596091205211726,0.0280502863266967,0.630354957160343,817,0.0168830371289979,-0.0135221775368654,0.023359795512361,"6",2005,2005
510,0.650980392156863,0.0211275907461094,0.616832779623477,903,0.0161444449790075,0.0110989900993372,0.0225364191953391,"6",2007,2007
393,0.572519083969466,0.024986781324732,0.627931769722815,938,0.015724092548311,-0.0145692286494301,0.0224218009885111,"6",2009,2009
545,0.667889908256881,0.0201926829854234,0.613362541073385,913,0.0159840568411323,-0.168785663838581,0.0233082483324607,"6",2011,2011
368,0.532608695652174,0.0260442231832769,0.444576877234803,839,0.0169642084173447,-0.0657600833416736,0.0226438362059358,"6",2013,2013
471,0.375796178343949,0.0223403751795213,0.37881679389313,1048,0.0149986316340571,-0.00126577348496654,0.0215692111737561,"6",2015,2015
577,0.381282495667244,0.0202375713815999,0.377551020408163,980,0.015500707073032,NA,NA,"6",2017,2017
403,0.372208436724566,0.0241094785532269,NA,NA,NA,NA,NA,"6",2019,2019
1012,0.300395256916996,0.0144177446766681,0.283342260310659,1867,0.010425646063958,-0.0707846566240229,0.014275427493024,"7",2003,2003
855,0.263157894736842,0.015068377218786,0.212557603686636,1736,0.00975160162525425,-0.0741594882567184,0.0128453569222622,"7",2005,2005
881,0.163450624290579,0.0124651567884607,0.138398115429918,1698,0.0083611877267915,-0.0382898903216924,0.0108929516825526,"7",2007,2007
817,0.111383108935129,0.0110134116089644,0.100108225108225,1848,0.00698190061199511,-0.0270185241115474,0.009276761228278,"7",2009,2009
1031,0.0911736178467507,0.00896925651232957,0.0730897009966777,1806,0.00610830277005849,-0.0216355622942169,0.00803965298112727,"7",2011,2011
775,0.0490322580645161,0.00776163756843124,0.0514541387024608,1788,0.00522729923825338,-0.00630850763449969,0.00694548114995317,"7",2013,2013
1013,0.0533070088845015,0.0070616547686383,0.0451456310679612,2060,0.00457329761530019,-0.000633744370945481,0.00651303831865549,"7",2015,2015
1047,0.0372492836676218,0.00585531205715659,0.0445118866970157,1977,0.00463730709163889,NA,NA,"7",2017,2017
930,0.0526881720430108,0.00732985171232169,NA,NA,NA,NA,NA,"7",2019,2019
559,0.665474060822898,0.0199739227482937,0.667298578199052,1055,0.0145200965369874,0.0112445730281846,0.0195899550772642,"8",2003,2003
496,0.669354838709677,0.0211449513331206,0.678543151227237,1263,0.0131504044228989,-0.0191004267690323,0.0186095821628969,"8",2005,2005
767,0.684485006518905,0.0167910396023155,0.659442724458204,1292,0.0131675135007264,-0.00476646546539872,0.0188096768161146,"8",2007,2007
525,0.622857142857143,0.0211729574412983,0.654676258992806,1251,0.0134320709548033,-0.0300915413848323,0.0192856306638704,"8",2009,2009
726,0.677685950413223,0.0173574073634384,0.624584717607973,1204,0.0138388951859731,-0.155631983594998,0.0204595979530755,"8",2011,2011
478,0.543933054393305,0.0228048822759943,0.468952734012975,1079,0.0150691780941477,-0.0624072794675204,0.0200698232848657,"8",2013,2013
601,0.409317803660566,0.0200738942936282,0.406545454545455,1375,0.0132558544897187,0.00490079448780145,0.019058718216836,"8",2015,2015
774,0.404392764857881,0.0176519189150146,0.411446249033256,1293,0.0136936869328959,NA,NA,"8",2017,2017
519,0.421965317919075,0.0216995359803301,NA,NA,NA,NA,NA,"8",2019,2019
1243,0.709573612228479,0.012881189429129,0.716783216783217,2288,0.00942212524422964,-0.00281037403245032,0.0133513037413455,"9",2003,2003
1045,0.725358851674641,0.0138136679209039,0.713972842750767,2283,0.00945943272483696,-0.0307430290861703,0.0136141048568465,"9",2005,2005
1238,0.704361873990307,0.0129745794759656,0.683229813664596,2254,0.0097909643844462,-0.0210426032846147,0.0141282928680553,"9",2007,2007
1016,0.65748031496063,0.0148953641216042,0.662187210379982,2158,0.0101855621243036,-0.0433210836529687,0.0146608965158247,"9",2009,2009
1142,0.666374781085814,0.013958729460433,0.618866126727013,2099,0.0105449613967843,-0.0796956198145704,0.015020303140333,"9",2011,2011
957,0.562173458725183,0.0160456481746716,0.539170506912442,2170,0.0106964150801952,-0.0511844868163306,0.0149373925476811,"9",2013,2013
1213,0.521022258862325,0.0143494248637728,0.487986020096112,2289,0.0104265238960879,-0.0340488095968838,0.0153757064587801,"9",2015,2015
1076,0.450743494423792,0.015175678113148,0.453937210499228,1943,0.0113004401927925,NA,NA,"9",2017,2017
867,0.457900807381776,0.0169303578950265,NA,NA,NA,NA,NA,"9",2019,2019
1060,0.300943396226415,0.0140945300600925,0.283172343670564,1967,0.010154431436107,-0.0691961789901743,0.0138958201092817,"10",2003,2003
907,0.262403528114664,0.014616054425257,0.21397616468039,1846,0.00948584939364517,-0.0747003986636769,0.0125045034975715,"10",2005,2005
939,0.167199148029819,0.0121838962247414,0.139275766016713,1795,0.00814747009824883,-0.0387113740208178,0.010621302851976,"10",2007,2007
856,0.108644859813084,0.0106425799453842,0.100564391995895,1949,0.00681401535598034,-0.0266650209267129,0.00905786426561907,"10",2009,2009
