"n","prev","prev_se","mov_prev","mov_prev_n","mov_prev_se","mov_prev_slope","mov_prev_slope_se","subgroup","meting","year"
931,0.0526315789473684,0.00732219309095003,0.0457142857142857,1925,0.00476050884068111,-0.000209899749373424,0.00681729023163002,"10",2015,2015
994,0.0392354124748491,0.00616130886838005,0.0455043859649123,1824,0.00487985672741271,NA,NA,"10",2017,2017
830,0.0530120481927711,0.0077818392195894,NA,NA,NA,NA,NA,"10",2019,2019
688,0.215116279069767,0.0156769268122914,0.19170579029734,1278,0.0109970681625999,-0.00188698097896167,0.0159146630238276,"11",2003,2003
590,0.164406779661017,0.0152721319522714,0.189818809318378,1159,0.0115039554497189,0.000657381157812553,0.0166096810480589,"11",2005,2005
569,0.216168717047452,0.0172716389495224,0.19047619047619,1071,0.0119808394334091,-0.0299128101945003,0.0164418598586089,"11",2007,2007
502,0.161354581673307,0.0164346695909456,0.16056338028169,1065,0.0112602949375673,-0.0245942385266275,0.0154804716820023,"11",2009,2009
563,0.159857904085258,0.0154587819877821,0.135969141755063,1037,0.0106231239010129,-0.0462374118753217,0.0137230554096167,"11",2011,2011
474,0.107594936708861,0.0142477524137865,0.089731729879741,1081,0.00868743278299967,-0.0114708603145236,0.0115144166431289,"11",2013,2013
607,0.0757825370675453,0.0107506653522818,0.0782608695652174,1265,0.00755713585112947,0.000564478193669782,0.0106446732650622,"11",2015,2015
658,0.0805471124620061,0.0106171277676001,0.0788253477588872,1294,0.00749658366507722,NA,NA,"11",2017,2017
636,0.0770440251572327,0.0105821304840929,NA,NA,NA,NA,NA,"11",2019,2019
1843,0.363537710255019,0.0112076938508158,0.327283546563523,3361,0.00806664051040339,-0.0786030125678692,0.0110807052800813,"12",2003,2003
1518,0.283267457180501,0.0115686881312352,0.248680533995654,3221,0.0075967980346947,-0.0737658582277355,0.00991405868457923,"12",2005,2005
1703,0.217850851438638,0.0100056346630016,0.174914675767918,3516,0.00637002505657078,-0.0456725943199543,0.00850959673748662,"12",2007,2007
1813,0.134583563154992,0.0080173249105657,0.129242081447964,3536,0.00564234148322337,-0.0382200249086659,0.0075613388202481,"12",2009,2009
1723,0.123621590249565,0.00793188528080551,0.0910220565392979,3219,0.00503366937147124,-0.0332302221517188,0.00640303207250434,"12",2011,2011
1496,0.053475935828877,0.00581867941873371,0.0577918343875791,3478,0.00395739717241416,-0.000147724111889846,0.0054110354768363,"12",2013,2013
1982,0.0610494450050454,0.00537922838950363,0.0576441102756892,3990,0.00369029979152772,-0.0001475490652353,0.00534145077595607,"12",2015,2015
2008,0.0542828685258964,0.00505752847498507,0.0574965612104539,3635,0.00386170737376775,NA,NA,"12",2017,2017
1627,0.0614628149969269,0.00595623322658158,NA,NA,NA,NA,NA,"12",2019,2019
622,0.393890675241158,0.019607288204221,0.334858188472095,1093,0.0141395456328638,0.0039173217319865,0.0205579104258312,"13",2003,2003
471,0.256900212314225,0.020153796602738,0.338775510204082,980,0.0149231675716874,0.00473594017759771,0.0215006085008136,"13",2005,2005
509,0.414538310412574,0.0218574614556486,0.343511450381679,917,0.0154782180994001,-0.0325358406255818,0.0213423967813559,"13",2007,2007
408,0.254901960784314,0.0216021060473771,0.310975609756098,984,0.0146943072255971,-0.000703073068466564,0.0209306376885082,"13",2009,2009
576,0.350694444444444,0.0199000918101551,0.310272536687631,954,0.0149053322407575,-0.0984382171610038,0.0204676926263088,"13",2011,2011
