"n","prev","prev_se","mov_prev","mov_prev_n","mov_prev_se","mov_prev_slope","mov_prev_slope_se","subgroup","meting","year"
724,0.0801104972375691,0.010095861789347,0.0612244897959184,1323,0.00657123712836821,-0.0179887854723479,0.00848857804098424,"6",2011,2011
599,0.0383973288814691,0.00785774164159669,0.0432357043235704,1434,0.00537352768306211,-0.00390661236289953,0.00712200395178214,"6",2013,2013
835,0.0467065868263473,0.00730666736465224,0.0393290919606709,1729,0.00467419945322893,0.00241211257123131,0.00675792177065777,"6",2015,2015
894,0.0324384787472036,0.00592848607938589,0.0417412045319022,1677,0.00488071369061581,NA,NA,"6",2017,2017
783,0.0523627075351213,0.00796578797096394,NA,NA,NA,NA,NA,"6",2019,2019
829,0.651387213510253,0.0165606013298953,0.640562248995984,1494,0.0124185463845775,0.00975221641282109,0.0172388776145505,"7",2003,2003
665,0.627067669172932,0.0187667117272219,0.650314465408805,1590,0.0119565298938925,-0.0279411650379768,0.0169336674253698,"7",2005,2005
925,0.667027027027027,0.0155038737039992,0.622373300370828,1618,0.0119912670460417,-0.0338190835033583,0.0170164028451095,"7",2007,2007
693,0.562770562770563,0.0188567713895861,0.58855421686747,1660,0.0120734204108681,-0.0306925816473441,0.0172837411812366,"7",2009,2009
967,0.607032057911065,0.0157143279222812,0.557861635220126,1590,0.0123677091169872,-0.136734874656745,0.0179684909102145,"7",2011,2011
623,0.481540930979133,0.0200345065175096,0.42112676056338,1420,0.0130348163311974,-0.0431646752553235,0.0175881813964759,"7",2013,2013
797,0.373902132998745,0.0171491875343296,0.377962085308057,1688,0.0118083736410773,0.00649737415140261,0.0173073605591977,"7",2015,2015
891,0.381593714927048,0.0162833047350885,0.384459459459459,1480,0.0126533411191978,NA,NA,"7",2017,2017
589,0.388794567062818,0.0201031926122747,NA,NA,NA,NA,NA,"7",2019,2019
740,0.289189189189189,0.0166780710571841,0.269539810080351,1369,0.0119873345925312,-0.0675933380608859,0.0165209952304488,"8",2003,2003
629,0.246422893481717,0.0171958858141367,0.201946472019465,1233,0.0113686891404074,-0.0704328243767848,0.0149464240045539,"8",2005,2005
604,0.155629139072848,0.0147622793783659,0.13151364764268,1209,0.00970301487954581,-0.0397705283766248,0.0125614456677539,"8",2007,2007
