"n","prev","prev_se","mov_prev","mov_prev_n","mov_prev_se","mov_prev_slope","mov_prev_slope_se","subgroup","meting","year"
366,0.505464480874317,0.0261696331101513,0.509463722397476,634,0.0198845007375375,NA,NA,"4",2017,2017
268,0.514925373134328,0.0305858669252409,NA,NA,NA,NA,NA,"4",2019,2019
402,0.412935323383085,0.0245873546805773,0.403534609720177,679,0.0188504576520111,-0.0167750278386437,0.0277483031751843,"5",2003,2003
277,0.389891696750903,0.0293576250838481,0.386759581881533,574,0.0203624304888115,-0.00138408781038685,0.0297419816159181,"5",2005,2005
297,0.383838383838384,0.0282667361887776,0.385375494071146,506,0.0216784892238812,-0.0802907483084344,0.0293669851544082,"5",2007,2007
209,0.38755980861244,0.0337807696888738,0.305084745762712,531,0.019810676970495,-0.0826615992889325,0.0265364048770848,"5",2009,2009
322,0.251552795031056,0.0242182435767167,0.222423146473779,553,0.017655533460399,0.00412552609259231,0.0249092157549247,"5",2011,2011
231,0.181818181818182,0.0254319493156449,0.226548672566372,565,0.0175713166198245,-0.0066905165380029,0.0247034128399046,"5",2013,2013
334,0.25748502994012,0.0239610851484664,0.219858156028369,564,0.0173639695399595,-0.0394233734196731,0.0249775842530484,"5",2015,2015
230,0.165217391304348,0.0245412588085454,0.180434782608696,460,0.017954728539677,NA,NA,"5",2017,2017
230,0.195652173913043,0.0262147997098195,NA,NA,NA,NA,NA,"5",2019,2019
238,0.285714285714286,0.0293445725006343,0.249471458773784,473,0.0198671087301765,-0.00896512965986035,0.0279301953482616,"6",2003,2003
235,0.212765957446809,0.0267543913480398,0.240506329113924,474,0.0196314493325225,-0.0028381676789464,0.0281263342993282,"6",2005,2005
239,0.267782426778243,0.0287026920740601,0.237668161434978,446,0.0201419184345029,-0.0328967896655939,0.0270318493174012,"6",2007,2007
207,0.202898550724638,0.0280196471324946,0.204771371769384,503,0.0180284219857567,-0.0249294745361821,0.0248138553951218,"6",2009,2009
296,0.206081081081081,0.0235502829592943,0.179841897233202,506,0.0170500269874713,-0.0653840659079004,0.0222236581129422,"6",2011,2011
210,0.142857142857143,0.0242049640596388,0.114457831325301,498,0.0142543873823971,-0.0111303357035849,0.0191273381865518,"6",2013,2013
288,0.09375,0.0172055555305542,0.103327495621716,571,0.0127541172354375,0.00599726322072744,0.0178802360791898,"6",2015,2015
283,0.113074204946996,0.0188582270477665,0.109324758842444,622,0.0125313740584293,NA,NA,"6",2017,2017
339,0.106194690265487,0.0167577040504985,NA,NA,NA,NA,NA,"6",2019,2019
343,0.250728862973761,0.023437355862833,0.23609022556391,665,0.0164826617645502,-0.00454660140283597,0.0238953363540458,"7",2003,2003
322,0.220496894409938,0.0231396959006014,0.231543624161074,596,0.0173005479863621,-0.0132967547514137,0.0245851531662389,"7",2005,2005
274,0.244525547445255,0.0260130147823238,0.21824686940966,559,0.0174677072215849,-0.00733777850056919,0.024661520722861,"7",2007,2007
285,0.192982456140351,0.0234175379506553,0.210909090909091,550,0.0174089002750057,-0.0154203691045796,0.0244449752147898,"7",2009,2009
265,0.230188679245283,0.0259078971224082,0.195488721804511,532,0.0171606236619359,-0.0654211542369437,0.0220213950429133,"7",2011,2011
267,0.161048689138577,0.0225375216683721,0.130067567567568,592,0.0138005374956721,-0.0279399079930995,0.0179132757002697,"7",2013,2013
325,0.104615384615385,0.0170031774370027,0.102127659574468,705,0.0114206221872725,-0.00316163298658034,0.0162029131015847,"7",2015,2015
380,0.1,0.0154099649081254,0.0989660265878878,677,0.0114936409302311,NA,NA,"7",2017,2017
297,0.0976430976430976,0.017252978897288,NA,NA,NA,NA,NA,"7",2019,2019
338,0.449704142011834,0.0270985850840696,0.427392739273927,606,0.0201031670147659,0.0182594346391162,0.0291482039245758,"8",2003,2003
268,0.399253731343284,0.0299719087801253,0.445652173913044,552,0.0211064082213219,-0.00356723182810148,0.0303017784246277,"8",2005,2005
284,0.48943661971831,0.029715281133647,0.442084942084942,518,0.0217420630964531,-0.022308822681957,0.0304471919675256,"8",2007,2007
234,0.384615384615385,0.0318719534794247,0.419776119402985,536,0.0213146473350419,0.00661011386661337,0.0303749681688122,"8",2009,2009
302,0.447019867549669,0.028657277494101,0.426386233269598,523,0.0216408063675813,-0.116041405683392,0.0298577949955371,"8",2011,2011
221,0.398190045248869,0.0330037692829149,0.310344827586207,493,0.0205709363364037,-0.0677105121615968,0.0272530669511254,"8",2013,2013
272,0.238970588235294,0.025905280644893,0.24263431542461,577,0.0178764156498485,-0.00314619842278191,0.0255667411425933,"8",2015,2015
305,0.245901639344262,0.0246977800456727,0.239488117001828,547,0.0182781841594351,NA,NA,"8",2017,2017
242,0.231404958677686,0.0271660564212326,NA,NA,NA,NA,NA,"8",2019,2019
306,0.722222222222222,0.0256468630971379,0.72093023255814,602,0.0183115691785888,0.0151180329018906,0.0250780148309764,"9",2003,2003
296,0.719594594594595,0.0261532779178232,0.73604826546003,663,0.0171345633758327,-0.00627727309361803,0.0243895929235831,"9",2005,2005
367,0.749318801089918,0.0226544568181247,0.729770992366412,655,0.0173568136735308,-0.00773151868220157,0.0251397771702126,"9",2007,2007
288,0.704861111111111,0.0269230368537743,0.722039473684211,608,0.0181865174035679,-0.0182003511979217,0.026651706582723,"9",2009,2009
320,0.7375,0.0246348728279171,0.703839122486289,547,0.0194824035606823,-0.11139379445448,0.0292367408626392,"9",2011,2011
